***SESSION HEADER***
{
  "Participant": "sergey",
  "Timestamp": "11-48-12-23-07-2019"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
42.6944;(0.2900, 1.8000, -22.3600);14.5605;0.0000;Infinity;;
42.9637;(0.2900, 0.0000, -22.3600);270.0000;0.0000;211.3919;;
43.0220;(0.2900, 0.0000, -22.3600);270.0000;0.0000;113.9714;;
43.0279;(0.2900, 0.0000, -22.3600);270.0000;0.0000;73.7049;;
43.0746;(0.2900, 0.0000, -22.3600);270.0000;0.0000;67.4998;;
43.1314;(0.2900, 0.0000, -22.3600);270.0000;0.0000;63.8882;;
43.1851;(0.2900, 0.0000, -22.3600);270.0000;0.0000;60.7962;;
43.2240;(0.2900, 0.0000, -22.3600);270.0000;0.0000;58.8301;;
43.2760;(0.2900, 0.0000, -22.3600);270.0000;0.0000;58.3324;;
43.3294;(0.2900, 0.0000, -22.3600);270.0000;0.0000;58.0426;;
43.3817;(0.2900, 0.0000, -22.3600);270.0000;0.0000;57.5605;;
43.4401;(0.2900, 1.7500, -22.3600);14.5605;0.0000;52.8892;;
43.4802;(0.2900, 1.7500, -22.3600);14.5605;0.0000;50.8108;;
43.5243;(0.2900, 1.7500, -22.3600);14.5605;0.0000;54.4025;;
43.5780;(0.2900, 1.7500, -22.3600);14.5605;0.0000;50.1364;;
43.6242;(0.2900, 1.7500, -22.3600);14.5605;0.0000;53.5192;;
43.6910;(0.2900, 1.7500, -22.3600);14.5605;0.0000;54.4838;;
43.7257;(0.2900, 1.7500, -22.3600);14.5605;0.0000;51.7114;;
43.7750;(0.2900, 1.7500, -22.3600);14.5605;0.0000;53.7934;;
43.8247;(0.2900, 1.7500, -22.3600);14.5605;0.0000;55.4626;;
43.8745;(0.2900, 1.7500, -22.3600);14.5605;0.0000;51.5141;;
43.9250;(0.2900, 1.7500, -22.3600);14.5605;0.0000;53.5122;;
43.9749;(0.2900, 1.7500, -22.3600);14.5605;0.0000;55.0083;;
44.0250;(0.2900, 1.7500, -22.3600);14.5605;0.0000;56.2563;;
44.0743;(0.2900, 1.7500, -22.3600);14.5605;0.0000;57.3940;;
44.1256;(0.2900, 1.7500, -22.3600);14.5605;0.0000;57.7047;;
44.1745;(0.2900, 1.7500, -22.3600);14.5605;0.0000;58.6130;;
44.2243;(0.2900, 1.7500, -22.3600);14.5605;0.0000;58.9857;;
44.2745;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.1832;;
44.3243;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.4291;;
44.3741;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.6460;;
44.4242;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.6719;;
44.4741;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.8285;;
44.5242;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.8178;;
44.5740;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.9232;;
44.6244;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.8072;;
44.6747;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.7519;;
44.7242;(0.2900, 1.7500, -22.3600);14.5605;0.0000;54.8580;;
44.7896;(0.2900, 1.7500, -22.3600);14.5605;0.0000;52.0586;;
44.8241;(0.2900, 1.7500, -22.3600);14.5605;0.0000;52.3778;;
44.8747;(0.2900, 1.7500, -22.3600);14.5605;0.0000;54.0621;;
44.9259;(0.2900, 1.7500, -22.3600);14.5605;0.0000;55.6166;;
