***SESSION HEADER***
{
  "Participant": "1986",
  "Timestamp": "09-28-49-06-11-2019"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
28.3595;(0.2900, 0.0000, -22.3600);270.0000;0.0000;Infinity;;
28.3742;(0.2900, 0.0000, -22.3600);270.0000;0.0000;190.3210;;
28.4411;(0.2900, 0.0000, -22.3600);270.0000;0.0000;123.0466;;
28.4743;(0.2900, 0.0000, -22.3600);270.0000;0.0000;78.0490;;
28.5417;(0.2900, 0.0000, -22.3600);270.0000;0.0000;73.2114;;
28.5739;(0.2900, 0.0000, -22.3600);270.0000;0.0000;63.9676;;
28.6241;(0.2900, 0.0000, -22.3600);270.0000;0.0000;63.0922;;
28.6752;(0.2900, 0.0000, -22.3600);270.0000;0.0000;61.4544;;
28.7250;(0.2900, 0.0000, -22.3600);270.0000;0.0000;61.3058;;
28.7847;(0.2900, 0.0000, -22.3600);270.0000;0.0000;61.3381;;
28.8238;(0.2900, 0.0000, -22.3600);270.0000;0.0000;51.9581;;
28.8931;(0.2900, 1.7500, -22.3600);14.5605;0.0000;47.3547;;
28.9243;(0.2900, 1.7500, -22.3600);14.5605;0.0000;47.7901;;
28.9743;(0.2900, 1.7500, -22.3600);14.5605;0.0000;46.2291;;
29.0245;(0.2900, 1.7500, -22.3600);14.5605;0.0000;45.1187;;
29.0765;(0.2900, 1.7500, -22.3600);14.5605;0.0000;46.3413;;
29.1261;(0.2900, 1.7500, -22.3600);14.5605;0.0000;42.7721;;
29.1742;(0.2900, 1.7500, -22.3600);14.5605;0.0000;46.5356;;
29.2247;(0.2900, 1.7500, -22.3600);14.5605;0.0000;45.3167;;
29.2753;(0.2900, 1.7500, -22.3600);14.5605;0.0000;43.8986;;
29.3246;(0.2900, 1.7500, -22.3600);14.5605;0.0000;47.5395;;
29.3745;(0.2900, 1.7500, -22.3600);14.5605;0.0000;50.2306;;
29.4241;(0.2900, 1.7500, -22.3600);14.5605;0.0000;52.7234;;
29.4742;(0.2900, 1.7500, -22.3600);14.5605;0.0000;54.3910;;
29.5242;(0.2900, 1.7500, -22.3600);14.5605;0.0000;55.9316;;
29.5737;(0.2900, 1.7500, -22.3600);14.5605;0.0000;56.9615;;
29.6238;(0.2900, 1.7500, -22.3600);14.5605;0.0000;57.8304;;
29.6738;(0.2900, 1.7500, -22.3600);14.5605;0.0000;58.2571;;
29.7247;(0.2900, 1.7500, -22.3600);14.5605;0.0000;58.5202;;
29.7736;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.0928;;
29.8238;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.3828;;
29.8738;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.4392;;
29.9235;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.7995;;
29.9734;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.8029;;
30.0239;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.7902;;
30.0735;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.8643;;
30.1239;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.8918;;
30.1735;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.9060;;
30.2240;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.8746;;
30.2733;(0.2900, 1.7500, -22.3600);14.5605;0.0000;60.0161;;
30.3239;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.9420;;
30.3735;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.9524;;
30.4238;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.9282;;
30.4733;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.9963;;
30.5236;(0.2900, 1.7500, -22.3600);14.5605;0.0000;60.0091;;
30.5734;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.9374;;
30.6239;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.8999;;
30.6732;(0.2900, 1.7500, -22.3600);14.5605;0.0000;60.0336;;
30.6909;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.8501;LMB;
30.7238;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.9459;;
30.7736;(0.2900, 1.7500, -22.3600);14.5605;0.0000;59.8767;;
30.8472;(0.2900, 1.9050, -22.3600);14.5605;0.0000;59.3889;;
30.8920;(0.2900, 1.9050, -22.3600);14.5605;0.0000;60.2256;;
30.9241;(0.2900, 1.9050, -22.3600);14.4433;0.3193;55.7932;;
30.9735;(0.2900, 1.9050, -22.3600);13.4325;0.9782;56.8449;;
31.0238;(0.2900, 1.9050, -22.3600);10.9066;2.2476;57.7508;;
31.0736;(0.2900, 1.9050, -22.3600);7.1131;4.0411;58.1902;;
31.1258;(0.2900, 1.9050, -22.3600);3.6409;5.4023;58.1899;;
31.1747;(0.2900, 1.9050, -22.3600);1.7944;6.1437;53.5533;;
31.2251;(0.2900, 1.9050, -22.3600);0.7616;6.5717;50.1296;;
31.2911;(0.2900, 1.9050, -22.3600);0.3655;6.7423;51.9556;;
31.3239;(0.2900, 1.9050, -22.3600);359.9139;6.9697;50.2443;;
31.3734;(0.2900, 1.9050, -22.3600);359.9838;6.7886;48.1030;;
31.4255;(0.2900, 1.9050, -22.3600);0.0256;6.6802;45.9795;;
31.4914;(0.2900, 1.9050, -22.3600);0.0417;6.6384;48.3456;;
31.5415;(0.2900, 1.9050, -22.3600);359.9661;6.5615;46.6869;;
31.5732;(0.2900, 1.9050, -22.3600);358.3182;7.5981;46.5394;;
31.6237;(0.2900, 1.9050, -22.3600);356.9462;9.1043;45.3442;;
31.6744;(0.2900, 1.9050, -22.3600);356.0806;10.2264;43.9300;;
31.6911;(0.2845, 1.9050, -22.2802);356.0806;10.2264;45.2799;w;
31.7429;(0.2669, 1.9050, -22.0408);355.7432;10.6682;46.4530;;
31.7912;(0.2541, 1.9050, -21.8814);355.3723;11.1529;45.2205;;
31.8422;(0.2340, 1.9050, -21.6422);355.1545;11.4368;44.3021;;
31.8911;(0.2201, 1.9050, -21.4828);355.0245;11.6058;43.5468;;
31.9420;(0.1990, 1.9050, -21.2437);354.9479;11.6441;42.9836;;
31.9914;(0.1848, 1.9050, -21.0844);354.9025;11.6668;42.5760;;
32.0421;(0.1634, 1.9050, -20.8453);354.8752;11.6804;42.1862;;
32.0919;(0.1491, 1.9050, -20.6860);354.8592;11.6883;41.9626;;
32.1425;(0.1275, 1.9050, -20.4469);354.8495;11.6931;41.7248;;
32.1918;(0.1131, 1.9050, -20.2876);354.8438;11.6959;41.5088;;
32.2424;(0.0916, 1.9050, -20.0486);354.8405;11.6976;41.4076;;
32.2921;(0.0772, 1.9050, -19.8892);354.8385;11.9474;41.2675;;
32.3425;(0.0556, 1.9050, -19.6502);354.8372;12.2881;41.1106;;
32.3907;(0.0409, 1.9050, -19.4908);354.7359;12.6870;41.1659;;
32.4420;(0.0180, 1.9050, -19.2519);354.4914;13.2242;41.0758;;
32.4909;(0.0100, 1.9050, -19.1723);354.2350;13.8492;41.0029;;
32.5420;(0.0100, 1.9050, -19.1723);353.9385;14.6831;40.9261;;
32.5913;(0.0100, 1.9050, -19.1723);353.7257;15.4105;40.9947;;
32.6407;(0.0100, 1.9050, -19.1723);353.6994;15.9505;40.9386;;
32.6906;(0.0100, 1.9050, -19.1723);354.4498;16.2664;40.9058;;
32.7412;(0.0100, 1.9050, -19.1723);355.6913;16.4822;40.8432;;
32.7904;(0.0100, 1.9050, -19.1723);356.8643;16.4063;40.8489;;
32.8408;(0.0100, 1.9050, -19.1723);357.7560;16.2497;40.8247;;
